match_api_id,home_team_api_id,home_team_goal,home_team_aggression,away_team_api_id,away_team_goal,away_team_aggression
493017,8203,2,55.81818181818182,9987,1,62.36363636363637
493021,8342,2,63.27272727272727,9999,1,53.3
493024,10000,1,54.36363636363637,10001,1,59.3
493025,9984,1,62.18181818181818,8342,3,63.27272727272727
493027,8635,2,68.54545454545455,10000,0,53.0
493029,9987,4,62.81818181818182,7947,3,57.9
493031,9999,2,52.54545454545455,9996,0,57.5
493034,8203,2,59.09090909090909,8635,1,68.81818181818181
493039,8342,1,63.90909090909091,9991,4,61.4
493040,10000,0,53.0,9999,0,52.54545454545455
493045,9991,1,60.27272727272727,10000,0,51.63636363636363
493048,9999,1,49.63636363636363,8203,0,59.09090909090909
493049,9984,0,66.45454545454545,9996,1,59.0
493050,9987,3,60.72727272727273,4049,0,58.1
493051,8635,2,69.72727272727273,9993,0,60.8
493054,8342,2,66.18181818181819,9986,1,55.888888888888886
493059,9987,1,62.27272727272727,10001,4,54.55555555555556
493060,9985,3,62.72727272727273,9993,1,56.8
493061,8635,1,70.27272727272727,8342,0,65.0
493062,9999,1,48.72727272727273,9987,0,62.36363636363637
493064,9985,1,59.63636363636363,9994,0,56.7
493068,9984,4,64.45454545454545,4049,1,52.42857142857143
493072,8342,3,65.63636363636364,9998,2,59.333333333333336
493075,9987,2,58.81818181818182,9991,2,62.9
493077,10000,5,52.72727272727273,8571,1,47.55555555555556
493080,9984,1,63.09090909090909,9987,2,61.63636363636363
493082,9999,1,53.09090909090909,9991,3,61.09090909090909
493083,8635,4,70.27272727272727,7947,0,53.857142857142854
493084,9985,4,59.90909090909091,8203,1,55.8
493085,9994,3,54.36363636363637,9996,0,56.0
493086,8571,2,55.45454545454545,4049,2,59.44444444444444
493089,10000,0,56.45454545454545,9985,0,61.90909090909091
493091,8203,2,57.36363636363637,9986,1,60.3
493092,9991,2,64.45454545454545,9984,1,68.36363636363636
493093,8342,2,67.18181818181819,9994,3,52.1
493094,10001,1,60.45454545454545,9999,0,53.09090909090909
493095,9987,0,63.18181818181818,8571,1,55.7
493097,9985,2,60.54545454545455,8342,0,67.45454545454545
493103,8635,3,69.0909090909091,9999,1,50.36363636363637
493105,9984,2,63.27272727272727,10001,1,60.45454545454545
493106,9987,0,65.81818181818181,8635,2,70.27272727272727
493107,9991,0,63.36363636363637,9985,1,66.27272727272727
493108,10000,3,56.45454545454545,9998,0,56.0
493112,8342,4,66.81818181818181,9996,1,51.714285714285715
665318,9985,2,63.27272727272727,9997,2,65.1
665321,9984,1,66.27272727272727,9991,3,63.0
665322,9994,1,59.72727272727273,10000,1,57.63636363636363
665323,8571,0,56.0,8635,2,66.18181818181819
665324,8203,4,58.27272727272727,10001,1,57.6
665411,8342,4,62.90909090909091,8635,2,67.45454545454545
665412,9985,1,66.18181818181819,9987,0,63.2
665417,8203,2,58.09090909090909,9994,0,66.18181818181819
665421,9993,3,62.36363636363637,10001,1,60.72727272727273
665425,8342,1,66.18181818181819,9991,0,66.36363636363636
665426,8635,2,67.81818181818181,9986,0,57.0
665427,9987,1,59.18181818181818,8203,2,59.36363636363637
665429,10000,4,55.90909090909091,9993,0,62.36363636363637
665430,9994,1,61.18181818181818,9984,1,55.45454545454545
665432,8571,2,59.90909090909091,9999,0,53.4
665435,10001,2,57.45454545454545,9985,0,66.63636363636364
665438,9985,1,62.63636363636363,10000,1,55.90909090909091
665443,9984,1,58.45454545454545,8571,1,59.90909090909091
665444,9994,0,61.18181818181818,9987,2,62.4
665445,8203,0,59.36363636363637,8635,2,62.81818181818182
665535,8342,1,60.90909090909091,9997,0,60.75
665536,8635,2,66.27272727272727,9994,0,60.09090909090909
665539,10000,2,55.90909090909091,9986,2,59.4
665541,9991,0,63.36363636363637,9993,1,63.72727272727273
665543,8571,2,56.09090909090909,8203,0,59.36363636363637
665548,9985,3,63.90909090909091,8342,1,66.54545454545455
665554,9984,2,59.54545454545455,10001,1,57.54545454545455
665556,9994,0,62.63636363636363,8571,0,56.09090909090909
665561,9993,4,63.72727272727273,9997,1,59.0
665568,8342,1,65.36363636363636,9993,2,61.0
665570,8635,3,68.63636363636364,9999,1,52.72727272727273
665574,10000,4,57.54545454545455,8203,1,58.90909090909091
665575,9991,2,67.45454545454545,9985,1,64.72727272727273
665577,8571,2,56.09090909090909,9987,1,64.2
665585,8342,1,65.72727272727273,9986,0,59.8
665586,8635,1,67.63636363636364,8571,0,59.90909090909091
665590,10000,1,57.63636363636363,9994,0,63.7
665591,9991,3,67.0909090909091,9984,1,56.90909090909091
665596,9993,3,63.27272727272727,9999,0,53.54545454545455
665598,9985,2,65.0,9993,2,63.27272727272727
665603,9984,1,62.81818181818182,8635,3,68.45454545454545
665604,9994,0,62.0,8342,1,66.72727272727273
665614,8342,1,66.63636363636364,8203,1,60.8
665616,9985,0,67.54545454545455,9999,1,53.44444444444444
